S.No,Software Name,Software link,One line discription,Software paid or not (Y/N),Reference (journel or publication name),Name of Person,Additional Remarks
614,LocARNA,http://rna.informatik.uni-freiburg.de/LocARNA/Input.jsp,LocARNA is a tool for multiple alignment of RNA molecules. LocARNA requires only RNA sequences as input and will simultaneously fold and align the input sequences.,Web Service. Also available to download.,,Pragya,Alignment and Folding
615,CRISPRmap,http://rna.informatik.uni-freiburg.de/CRISPRmap/Input.jsp,"It comprises the largest dataset of CRISPRs to date and enables comprehensive independent clustering analyses to determine conserved sequence families, potential structure motifs for endoribonucleases, and evolutionary relationships.",Web Service. Also available to download.,,Pragya,CRISPR COnservation
616,Inta-RNA,http://rna.informatik.uni-freiburg.de/IntaRNA/Input.jsp,IntaRNA is a program for the fast and accurate prediction of interactions between two RNA molecules.,Web Service. Also available to download,,Pragya,RNA-RNA Interaction
617,MARNA,http://rna.informatik.uni-freiburg.de/MARNA/Input.jsp,MARNA is a multiple alignment of RNAs taking into consideration both the primary sequence and the secondary structure. It is based on pairwise comparisons using costs of edit operations,Web Service. Available to download.,,Pragya,Structure Alignment
618,CopraRNA,http://rna.informatik.uni-freiburg.de/CopraRNA/Input.jsp,CopraRNA is a tool for sRNA target prediction. It computes whole genome predictions by combination of distinct whole genome IntaRNA predictions.,Web Service. Available to download.,,Pragya,sRNA Targeting
619,ExpaRNA,http://rna.informatik.uni-freiburg.de/ExpaRNA/Input.jsp,"ExpaRNA is a fast, motif-based comparison and alignment tool for RNA molecules. Instead of computing a full sequence-structure alignment, it computes the best arrangement of sequence-structure motifs common to two RNAs.",Web Service. Available to download.,,Pragya,Exact Matching
620,INFORNA,http://rna.informatik.uni-freiburg.de/INFORNA/Input.jsp,INFO-RNA is a server for the design of RNA sequences that fold into a given pseudo-knot free RNA secondary structure.,Web Service. Available to download.,,Pragya,Sequence design
621,MiSeq Reporter,http://support.illumina.com/sequencing/sequencing_software/miseq_reporter.html,"The MiSeq Reporter analysis software processes base calls generated on-instrument during the sequencing run by Real Time Analysis (RTA) software, and produces information about alignment, structural variants, and contig assemblies for each genome requested and each sample based on the analysis workflow specified in the sample sheet.",Available for installation,,Pragya,
622,VARNA,http://varna.lri.fr/,VARNA is Java lightweight Applet dedicated to drawing the secondary structure of RNA.,Available for Download,,Pragya,
623,ViennaRNA,http://www.tbi.univie.ac.at/RNA/,The ViennaRNA Package consists of a C code library and several stand-alone programs for the prediction and comparison of RNA secondary structures.,Available for Download,,Pragya,
624,RNAPredator,http://rna.tbi.univie.ac.at/RNApredator2/target_search.cgi,A bacterial sRNA target prediction web server,Web service. Free.,,Pragya,
625,alidot,http://www.tbi.univie.ac.at/software/ (URL Not Found),alidot is designed to detect conserved RNA secondary structures in small data sets of related RNA sequences. The method is a combination of structure prediction and comparative sequence alignment.,,,Pragya,Detecting Conserved RNA Structures
626,RNAstrand,http://rna.tbi.univie.ac.at/cgi-bin/RNAstrand.cgi,The RNAstrand web server predicts the reading direction (plus or minus strand) of a structured RNA in a multiple sequence alignment.,Web Service. Free,,Pragya,Plus/Minus strand prediction of structured RNAs
627,RNAxs,http://rna.tbi.univie.ac.at/cgi-bin/RNAxs,"RNAxs will help you to design potent siRNAs to knock down your gene(s) of interest. RNAxs is based on the RNAplfold program to assess the mRNA target site accessibility. RNAxs was trained on two different datasets, one targeting 3'UTRs and the other one designed to repress coding sequences only.",Web Service. Free,,Pragya,siRNA design
628,RNAz,http://rna.tbi.univie.ac.at/cgi-bin/RNAz.cgi,"RNAz detects functional RNA secondary structures in multiple sequence alignment based on two characteristic features: (i) thermodynamic stability, (ii) structural conservation",Web Service. Free,,Pragya,non-coding RNA prediction
629,Vienna Atlas of Viral RNA Structures,http://rna.tbi.univie.ac.at/virus/,,Database. Availabel for free.,,Pragya,
630,Structure Conservation Analysis,http://rna.tbi.univie.ac.at/cgi-bin/SCA.cgi,The Structure Conservation Analysis web server will help you to detect evolutionarily conserved RNA secondary structures in multiple sequence alignments.,Web Service. Free,,Pragya,
631,barriers,http://rna.tbi.univie.ac.at/cgi-bin/barriers.cgi,"barriers reads an energy sorted list of conformations of a landscape, and computes local minima and energy barriers of the landscape. The barriers program is fundamental to compute global folding kinetics (using treekin) of RNA molecules.",Web Service. Free,,Pragya,Basin Structure of RNA Energy Landscapes
632,Kinfold,Part of the Vienna Package. http://www.tbi.univie.ac.at/RNA/,The program Kinfold simulates the stochastic folding kinetics of RNA sequences into secondary structures.,Web Service. Free,,Pragya,Kinetic Folding of RNA
633,RNAwolf,http://www.tbi.univie.ac.at/software/rnawolf/rnawolf.html,"The RNAwolf algorithm provides extended RNA secondary structure predictions. In extended secondary structures, each nucleotide can engage in a pairing with up two other nucleotides.",Free. Can be downloaded and built.,,Pragya,
634,MC-Fold-DP,http://www.tbi.univie.ac.at/software/rnawolf/mcfolddp.html,"Parisien and Major (2008) described an algorithm for finding a secondary structure of an RNA that includes non-canonical base-pairs (MC-Fold) as well as a second algorithm (MC-Sym) for finding the three-dimensional structure, given the MC-Fold prediction.",Free. Can be downloaded and built.,,Pragya,
635,SSPcompare,http://www.tbi.univie.ac.at/software/rnawolf/download.html,"SSPcompare is a modest tool that takes a library of known sequence-structure pairs, e.g. Andronescu et al. (2008), and predictions by different algorithms and produces tables for easy comparison of different programs. It was written to automate the rather tedious procedure of comparing and testing different programs.",Free. Can be downloaded and built.,,Pragya,
636,CLC Sequence viewer,http://www.clcbio.com/products/clc-sequence-viewer/,"CLC Sequence Viewer creates a software environment enabling users to make a large number of bioinformatics analyses, combined with smooth data management, and excellent graphical viewing and output options.",Paid,,Pragya,
637,strand NGS,http://www.strand-ngs.com/,"Strand NGS (Formerly Avadis NGS) is an integrated platform that provides analysis, management and visualization tools for next-generation sequencing data. It supports extensive workflows for alignment, RNA-Seq, small RNA-Seq, DNA-Seq, Methyl-Seq, and ChIP-Seq experiments.",Paid,,Pragya,
638,Kinefold Web Server,http://kinefold.curie.fr/,RNA/DNA folding predictions including pseudoknots and entangled helices,Free. Web Service. Executable available to download for viewing results offline.,,Pragya,
639,PseudoViewer Web Application,http://pseudoviewer.inha.ac.kr/PVWebService/WSPV_input.asp,Tool for viewing RNA Secondary structure,Web Service. Free,,Pragya,
640,HPKnotter,http://genome.cs.nthu.edu.tw/HPKNOTTER/,"A Heuristic Approach for Detecting RNA H-type Pseudoknots - offers a variety of tools including pknotsRG, PNOTS and NUPACK",Web Service. Free,,Pragya,
641,DotKnot,http://dotknot.csse.uwa.edu.au/,DotKnot: pseudoknot prediction including kissing hairpins. DotKnot is a heuristic method for pseudoknot prediction in a given RNA sequence.,Web Service. Available for Download.,,Pragya,
642,siDesign Center,http://dharmacon.gelifesciences.com/design-center/,"The siDESIGN Center is an advanced, user-friendly siRNA design tool, which significantly improves the likelihood of identifying functional siRNA.One-of-a-kind options are available to enhance target specificity and adapt siRNA designs for more sophisticated experimental design.",Web Service. Free.,,Pragya,
643,ARTS,http://bioinfo3d.cs.tau.ac.il/ARTS/,ARTS is a fully automated method for aligning a pair of nucleic acid 3D structures (RNAs or DNAs) and detecting a-priori unknown common substructures. The identified common substructures can be either large global folds containing hundreds and even thousands of nucleotides or small local tertiary motifs with at least two successive base pairs.,Free. Web Service. Available for download,,Pragya,
644,siRNA Design Software,http://i.cs.hku.hk/~sirna/software/sirna.php,SDS (siRNA Design Software) is a software tool that helps to design siRNAs for silencing gene expression. The tool takes an mRNA sequence and makes use of existing design tools to output a set of candidates. These candidates are then filtered based on the secondary structure.,Free. Web Service.,,Pragya,
645,Virtual Footprint,http://www.prodoric.de/vfp/,Virtual Footprint is a new software suite for recognizing single or composite DNA patterns. It was especially designed to analyze transcription factor binding sites in whole bacterial genomes and their underlying regulatory networks. A pattern can consist of up to two subpatterns separated by a variable spacer region.,Free web service.,,Pragya,
646,WebGeSTer,http://pallab.serc.iisc.ernet.in/gester/rungester.html,"Genome Scanner for Terminators - my favourite terminator search program is finally web enabled.  Please note that if you want to analyze data from a *.gbk file you need to use  their conversion program ""GenBank2GeSTer"" first. A complete description of each terminator including a diagram is produced by this program.  This site linked to an extensive database of transcriptional terminators in bacterial genome ",Free web service.,,Pragya,
647,ARNold,http://rna.igmors.u-psud.fr/toolbox/arnold/index.php,"finds rho-independent terminators in nucleic acid sequences using two complementary programs, Erpin and RNAmotif. The program colors the terminator stem and loop",,,Pragya,
648,NAPP database,http://napp.u-psud.fr/,Access to non-coding RNA prediction by Nucleic Acid Phylogenetic Profiling,Free,,Pragya,
649,RibEx,http://132.248.32.45/cgi-bin/ribex.cgi,"scans <40kb DNA for potential genes (which are linked to BLASTP) and several hundred regulatory elements, including riboswitches. If you click on the ""search for attenuators"" it finds terminators and antiterminators.",Free. Web Service.,,Pragya,
650,KnotInFrame,http://bibiserv2.cebitec.uni-bielefeld.de/knotinframe,KnotInFrame predicts -1 frameshift sites with simple pseudoknots. More complex knotted structures like triple crossing helices or kissing hairpins are excluded from calculation.,Free. Available to download,,Pragya,
651,pAliKiss,http://bibiserv2.cebitec.uni-bielefeld.de/palikiss,"pAliKiss predicts RNA secondary structures for fixed RNA multiple sequence alignments, with special attention for pseudoknotted structures.",Free. Available to download,,Pragya,
652,pKiss,http://bibiserv2.cebitec.uni-bielefeld.de/pkiss,"pKiss is a tool for folding RNA secondary structures, including two limited classes of pseudoknots.",Free. Available to download,,Pragya,
653,RNAalishapes,http://bibiserv2.cebitec.uni-bielefeld.de/rnaalishapes,"RNAalishapes is a tool for secondary structure prediction, using shape abstraction. Input is a multiple sequence alignment. Pseudoknots are not considered at all.",Free. Available to download,,Pragya,
654,RNAshapes,http://bibiserv2.cebitec.uni-bielefeld.de/rnashapes,"RNAshape abstraction maps structures to a tree-like domain of shapes, retaining adjacency and nesting of structural features, but disregarding helix lengths. Shape abstraction integrates well with dynamic programming algorithms, and hence it can be applied during structure prediction rather than afterwards.",Free. AVailable to download,,Pragya,
